2022-11-24 08:38:59,066 | INFO | models: ['ResNet8', 'ResNet14', 'ResNet20', 'ResNet26', 'ResNet32', 'ResNet44', 'ResNet56']
datasets: ['CIFAR10']
activations: ['Default', 'LinComb', 'ReLUN', 'ScaledSoftSign', 'ShiLU', 'HELU', 'DELU', 'SinLU', 'CosLU', 'NormLinComb']
log_path: ./logs/
plot_path: ./plot/full/
dpi: 70
clip: [0.0, 3.0]
2022-11-24 08:38:59,289 | INFO | processed resnet8 cifar10 default
2022-11-24 08:38:59,301 | INFO | processed resnet8 cifar10 lincomb
2022-11-24 08:38:59,318 | INFO | processed resnet8 cifar10 relun
2022-11-24 08:38:59,333 | INFO | processed resnet8 cifar10 scaledsoftsign
2022-11-24 08:38:59,346 | INFO | processed resnet8 cifar10 shilu
2022-11-24 08:38:59,358 | INFO | processed resnet8 cifar10 helu
2022-11-24 08:38:59,377 | INFO | processed resnet8 cifar10 delu
2022-11-24 08:38:59,394 | INFO | processed resnet8 cifar10 sinlu
2022-11-24 08:38:59,411 | INFO | processed resnet8 cifar10 coslu
2022-11-24 08:38:59,424 | INFO | processed resnet8 cifar10 normlincomb
2022-11-24 08:38:59,966 | INFO | processed resnet14 cifar10 default
2022-11-24 08:38:59,977 | INFO | processed resnet14 cifar10 lincomb
2022-11-24 08:38:59,996 | INFO | processed resnet14 cifar10 relun
2022-11-24 08:39:00,012 | INFO | processed resnet14 cifar10 scaledsoftsign
2022-11-24 08:39:00,027 | INFO | processed resnet14 cifar10 shilu
2022-11-24 08:39:00,040 | INFO | processed resnet14 cifar10 helu
2022-11-24 08:39:00,060 | INFO | processed resnet14 cifar10 delu
2022-11-24 08:39:00,089 | INFO | processed resnet14 cifar10 sinlu
2022-11-24 08:39:00,110 | INFO | processed resnet14 cifar10 coslu
2022-11-24 08:39:00,126 | INFO | processed resnet14 cifar10 normlincomb
2022-11-24 08:39:00,602 | INFO | processed resnet20 cifar10 default
2022-11-24 08:39:00,614 | INFO | processed resnet20 cifar10 lincomb
2022-11-24 08:39:00,632 | INFO | processed resnet20 cifar10 relun
2022-11-24 08:39:00,651 | INFO | processed resnet20 cifar10 scaledsoftsign
2022-11-24 08:39:00,673 | INFO | processed resnet20 cifar10 shilu
2022-11-24 08:39:00,685 | INFO | processed resnet20 cifar10 helu
2022-11-24 08:39:00,698 | INFO | processed resnet20 cifar10 delu
2022-11-24 08:39:00,709 | INFO | processed resnet20 cifar10 sinlu
2022-11-24 08:39:00,725 | INFO | processed resnet20 cifar10 coslu
2022-11-24 08:39:00,740 | INFO | processed resnet20 cifar10 normlincomb
2022-11-24 08:39:01,391 | INFO | processed resnet26 cifar10 default
2022-11-24 08:39:01,407 | INFO | processed resnet26 cifar10 lincomb
2022-11-24 08:39:01,427 | INFO | processed resnet26 cifar10 relun
2022-11-24 08:39:01,443 | INFO | processed resnet26 cifar10 scaledsoftsign
2022-11-24 08:39:01,458 | INFO | processed resnet26 cifar10 shilu
2022-11-24 08:39:01,491 | INFO | processed resnet26 cifar10 helu
2022-11-24 08:39:01,507 | INFO | processed resnet26 cifar10 delu
2022-11-24 08:39:01,525 | INFO | processed resnet26 cifar10 sinlu
2022-11-24 08:39:01,550 | INFO | processed resnet26 cifar10 coslu
2022-11-24 08:39:01,562 | INFO | processed resnet26 cifar10 normlincomb
2022-11-24 08:39:02,240 | INFO | processed resnet32 cifar10 default
2022-11-24 08:39:02,253 | INFO | processed resnet32 cifar10 lincomb
2022-11-24 08:39:02,279 | INFO | processed resnet32 cifar10 relun
2022-11-24 08:39:02,301 | INFO | processed resnet32 cifar10 scaledsoftsign
2022-11-24 08:39:02,314 | INFO | processed resnet32 cifar10 shilu
2022-11-24 08:39:02,331 | INFO | processed resnet32 cifar10 helu
2022-11-24 08:39:02,348 | INFO | processed resnet32 cifar10 delu
2022-11-24 08:39:02,364 | INFO | processed resnet32 cifar10 sinlu
2022-11-24 08:39:02,384 | INFO | processed resnet32 cifar10 coslu
2022-11-24 08:39:02,405 | INFO | processed resnet32 cifar10 normlincomb
2022-11-24 08:39:02,997 | INFO | processed resnet44 cifar10 default
2022-11-24 08:39:03,008 | INFO | processed resnet44 cifar10 lincomb
2022-11-24 08:39:03,026 | INFO | processed resnet44 cifar10 relun
2022-11-24 08:39:03,041 | INFO | processed resnet44 cifar10 scaledsoftsign
2022-11-24 08:39:03,053 | INFO | processed resnet44 cifar10 shilu
2022-11-24 08:39:03,067 | INFO | processed resnet44 cifar10 helu
2022-11-24 08:39:03,081 | INFO | processed resnet44 cifar10 delu
2022-11-24 08:39:03,096 | INFO | processed resnet44 cifar10 sinlu
2022-11-24 08:39:03,111 | INFO | processed resnet44 cifar10 coslu
